Date,Tweet,Replies,Retweets,Likes,HasMedia,Datetime,DayOfWeek,Hour,Engagement,Hashtags,Mentions,Links,WordCount,HasHashtags,HasMentions,HasLinks
Jun 17,I might be late to this club but gmi,0,0,5,False,,,,5,[],[],[],9,False,False,False
Jul 30,"When you are on the verge of completion of fine tuning LLM ,but don’t know what Eigenvalue is?",1,0,18,True,,,,19,[],[],[],18,False,False,False
Jul 30,Finally someone making it crystal clear in a concise way,0,0,0,False,,,,0,[],[],[],10,False,False,False
Jul 30,"Gm gm ,Say it back for a productive day ahead ✊🏽",2,0,12,True,,,,14,[],[],[],11,False,False,False
Jul 29,"Day 13 of ML (after 9-5):

> Chaotic day didn’t do much,implementing and exploring HOML chapter 2.
>  1hr DSA
Thats it!",2,2,44,True,,,,48,[],[],[],22,False,False,False
Jul 29,Shit posting on tech twitter is way better than doom scrolling on Insta,0,0,3,False,,,,3,[],[],[],13,False,False,False
Jul 29,Dm for the book link!,0,0,0,False,,,,0,[],[],[],5,False,False,False
Jul 29,"Chapter 2 of HOML,we keep going!",0,0,13,True,,,,13,[],[],[],6,False,False,False
Jul 29,200😏,3,0,6,True,,,,9,[],[],[],1,False,False,False
Jul 28,"Day 12 of ML (After office hours):

> Started  basic ML from HOML,done with chapter 1,exploring chapter 2.
> 1hr of dsa (Did basic recursion revision and problem solving)
> Completed my first corporate Agile Sprint with no pending cards.",3,9,183,True,,,,195,[],[],[],40,False,False,False
Jul 28,Traffic meh HOML ka 1st chapter Pel diya😈😏!,2,0,17,True,,,,19,[],[],[],8,False,False,False
Jul 28,Bc stuck in traffic 😭😭😭Will reach by 9:30 gg🙏🏻,2,0,0,False,,,,2,[],[],[],9,False,False,False
Jul 28,Leaving early from office! More time to do ML💪🏼😈,3,0,10,False,,,,13,[],[],[],9,False,False,False
Jul 28,Me after wasting the whole weekend and regretting it when I get back to office,0,0,3,True,,,,3,[],[],[],15,False,False,False
Jul 27,"Day 11 Of ML and maths!

> Went through @3blue1brown  Linear Algebra playlist!
>Revised maths done by me this week
>Touched some grass.",2,0,20,True,,,,22,[],['@3blue1brown'],[],23,False,True,False
Jul 27,nitter.net/techwith_ram,0,0,0,False,,,,0,[],[],[],1,False,False,False
Jul 27,Weekend and chill nitter.net/i/spaces/1gqxvjNPBOkxB,6,0,0,False,,,,6,[],[],[],4,False,False,False
Jul 27,The OG Setup for next few weeks.,1,1,27,True,,,,29,[],[],[],7,False,False,False
